url,primary_topic,assigned_topic,relevance_score,key_sentence,is_primary,coverage_quality,confidence_score,matches_predefined,missing_topic_suggestion
https://www.africanews.com/2024/10/20/mozambique-rocked-by-killing-of-two-prominent-opposition-figures/,Election Violence,Election Violence,high,Their deaths come as country waits for the results of the contested 9 October election.,true,good,high,true,
https://www.africanews.com/2024/10/20/mozambique-rocked-by-killing-of-two-prominent-opposition-figures/,Election Violence,Social Media Restrictions,medium,Videos posted on social media show a BMW SUV in the middle of the road with many bullet holes in the bodywork.,false,good,high,true,
https://www.africanews.com/2024/10/31/mozambique-faces-social-media-restrictions-amid-election-disputes-and-tensions/,Social Media Restrictions,Social Media Restrictions,high,"Social media access in Mozambique has been restricted for the second time in a week, according to the global internet watchdog NetBlocks, following calls for nationwide strikes by opposition leaders over a contentious presidential election.",true,good,high,true,
https://www.africanews.com/2024/10/31/mozambique-faces-social-media-restrictions-amid-election-disputes-and-tensions/,Social Media Restrictions,Election Violence,high,Human Rights Watch reported that at least 11 people were killed and more than 50 were injured in clashes with security forces.,false,good,high,true,
https://www.africanews.com/2024/10/26/mozambique-ruling-party-calls-for-dialogue-as-opposition-rejects-vote-result/,Election Violence,Election Violence,high,Demonstrations began immediately after the National Election Commission declared Chapo winner of the vote.,true,excellent,high,true,
https://www.africanews.com/2024/10/31/post-election-protests-in-mozambique-leave-10-dead-dozens-injured/,Election Violence,Election Violence,high,At least 10 people were killed and 63 injured by gunfire in Mozambique during protests following disputed election results.,true,excellent,high,true,
https://www.africanews.com/2024/10/23/eu-observers-flag-irregularities-and-alteration-of-results-in-mozambique-election/,Election Violence,Election Violence,high,"Tensions around the country's election escalated after the killing of two prominent opposition figures last Friday, followed by protests by opposition supporters on Monday...",true,excellent,high,true,none
https://www.africanews.com/2024/10/23/eu-observers-flag-irregularities-and-alteration-of-results-in-mozambique-election/,Election Violence,Social Media Restrictions,medium,"We urge all state institutions, political leaders, citizens and stakeholders to resolve electoral disputes peacefully and lawfully, rejecting violence and inflammatory rhetoric.",false,excellent,high,true,none
https://www.africanews.com/2024/10/25/mozambique-let-us-engage-in-dialogue-says-president-elect-after-days-of-opposition-protest/,Election Violence,Election Violence,high,The electoral cycle has been marred by violence notably against officials of the Podemos coalition.,true,good,high,true,none
https://www.africanews.com/2024/10/25/mozambique-let-us-engage-in-dialogue-says-president-elect-after-days-of-opposition-protest/,Election Violence,Social Media Restrictions,medium,The president-elect criticized the strikes called by the opposition to protest what it claimed was systematic deceit.,false,good,high,true,none
https://www.africanews.com/2024/10/25/mozambique-let-us-engage-in-dialogue-says-president-elect-after-days-of-opposition-protest/,Election Violence,Insurgency Crisis,medium,Chapo will face immediate challenges including a terror group affiliated to the Islamic State group that has launched attacks on communities in the hydrocarbon-rich province of Cabo Delgado since 2017.,false,good,high,true,none
https://www.africanews.com/2024/10/15/un-southern-africa-faces-worst-hunger-crisis-in-decades-due-to-el-nino/,Climate Challenges,Climate Challenges,high,Months of drought in southern Africa triggered by the El Niño weather phenomenon have had a devastating impact on more than 27 million people...,true,good,high,true,
https://www.africanews.com/2024/10/15/un-southern-africa-faces-worst-hunger-crisis-in-decades-due-to-el-nino/,Climate Challenges,Humanitarian Response,medium,The five countries that declared drought-related disasters have pleaded for international aid...,false,good,high,true,
https://www.africanews.com/2024/11/05/mozambiques-president-urges-an-end-to-deadly-protests-against-recent-election-results/,Election Violence,Election Violence,high,"According to medical associations, more than a dozen people have been killed and dozens more injured in clashes in recent days.",true,excellent,high,true,
https://www.africanews.com/2024/11/07/post-election-violence-intensifies-in-mozambique-ahead-of-sadc-meeting/,Election Violence,Election Violence,high,Amnesty International said on Wednesday (Nov. 06) that at least 20 people have died and hundreds more have been injured and arrested since the beginning of the protests in late October.,true,good,high,true,
https://www.africanews.com/2024/11/07/post-election-violence-intensifies-in-mozambique-ahead-of-sadc-meeting/,Election Violence,Social Media Restrictions,medium,Human Rights Watch has said the internet is being restricted and social media sites blocked.,false,good,high,true,
https://www.africanews.com/2024/11/08/why-mozambiques-election-has-sparked-weeks-of-protests-and-a-violent-crackdown-by-police/,Election Violence,Election Violence,high,The protests were sparked by a vote last month that will keep the ruling party in power for more than a half-century amid allegations of rigging.,true,good,high,true,none
https://www.africanews.com/2024/11/08/why-mozambiques-election-has-sparked-weeks-of-protests-and-a-violent-crackdown-by-police/,Election Violence,Social Media Restrictions,medium,"According to Human Rights Watch, the internet is being restricted and social media sites have been blocked.",false,good,high,true,none
https://allafrica.com/stories/202411210032.html,Election Violence,Election Violence,high,"At least 30 people are reported to have died during the post-election violence that flared after electoral officials said Chapo, of the ruling Frelimo party, won the presidential election with more than 60% of the vote.",true,excellent,high,true,
https://web.archive.org/web/20241121042916/https://allafrica.com/stories/202411200090.html,Election Violence,Election Violence,high,Plainclothes hit squads to kill demonstrators were ordered to be established last week by the General Commander of the Police.,true,excellent,high,true,
https://web.archive.org/web/20241116024131/https://allafrica.com/stories/202411150102.html,Election Violence,Election Violence,high,"At least 50 demonstrators have been killed by police, far more than insurgents killed in Cabo Delgado in the same period.",true,good,high,true,none
